Latitude,Longitude,sqm_value2,C1,C2,profile
29.790631562197643,-82.51549054272893,16,0,0.03,profile_1
29.790184633920184,-82.51544762738469,16,0,0.03,profile_1
29.78979357004024,-82.51540471204045,16,0,0.03,profile_1
29.78955148211072,-82.51536179669621,16,0,0.03,profile_1
29.788893541496144,-82.51538325436833,16,0,0.03,profile_1
29.78873444300764,-82.51522138980287,16,0,0.03,profile_1
29.788324751063982,-82.51509264377016,16,0,0.03,profile_1
29.787677398446803,-82.51498535540956,16,0,0.03,profile_1
29.787249079578906,-82.5149209823932,16,0,0.03,profile_1
29.78662272955335,-82.5146849479999,16,0,0.03,profile_1
29.79198146594747,-82.51505487004724,16,0,0.03,profile_1
29.79162765266476,-82.515011954703,16,0,0.03,profile_1
29.791385569171663,-82.51496903935876,16,0,0.03,profile_1
29.791050375676022,-82.51494758168664,16,0,0.03,profile_1
29.790696559101573,-82.51503341237512,16,0,0.03,profile_1
29.790268253153677,-82.515011954703,16,0,0.03,profile_1
29.789858567488384,-82.51496903935876,16,0,0.03,profile_1
29.789523368878513,-82.51494758168664,16,0,0.03,profile_1
29.788807036579808,-82.51473300496545,16,0,0.03,profile_1
29.78842660987955,-82.51477592030969,16,0,0.03,profile_1
29.78792380435025,-82.51464717427697,16,0,0.03,profile_1
29.787625844326193,-82.51453988591638,16,0,0.03,profile_1
29.787383751153538,-82.5144540552279,16,0,0.03,profile_1
29.78695543102909,-82.5143849044681,16,0,0.03,profile_1
29.692021537092,-82.44998184501205,16,0,0.03,profile_1
29.69174193234587,-82.4498101836351,16,0,0.03,profile_1
29.691238641842222,-82.44955269156966,16,0,0.03,profile_1
29.690791270389425,-82.44944540320907,16,0,0.03,profile_1
29.6904524305812,-82.44921890785332,16,0,0.03,profile_1
29.690210102728894,-82.44904724647637,16,0,0.03,profile_1
29.689967774292217,-82.44896141578789,16,0,0.03,profile_1
29.6894644749027,-82.44893995811577,16,0,0.03,profile_1
29.689091658914958,-82.44883266975518,16,0,0.03,profile_1
29.69157085925,-82.4490901618206,16,0,0.03,profile_1
29.691440376546737,-82.4487468390667,16,0,0.03,profile_1
29.691235331956428,-82.44857517768975,16,0,0.03,profile_1
29.691142129731602,-82.4488541274273,16,0,0.03,profile_1
29.690899803542507,-82.44851080467339,16,0,0.03,profile_1
29.69058291456732,-82.44855372001763,16,0,0.03,profile_1
29.690697470098836,-82.44788853218193,16,0,0.03,profile_1
29.690234531412248,-82.44814876106904,16,0,0.03,profile_1
29.689843077588474,-82.44784835365937,16,0,0.03,profile_1
