Latitude,Longitude,sqm_value2,C1,C2,profile
29.910021549931596,-81.33316304718673,16,0.9,0.03,original
29.89918031496171,-81.33160894976639,16,0.9,0.03,original
29.904020669922772,-81.33241085577777,16,0.9,0.03,original
29.910506338049238,-81.33174430976514,16,0.9,0.03,original
29.910506338049238,-81.33174430976514,16,0.9,0.03,original
29.905045924409972,-81.33148319141158,16,0.9,0.03,original
29.904377938441122,-81.3313989202187,16,0.9,0.03,original
29.90399342357768,-81.33121774813738,16,0.9,0.03,original
29.910506338049238,-81.33174430976514,16,0.9,0.03,original
29.910506338049238,-81.33174430976514,16,0.9,0.03,original
29.87468743037948,-81.32628709909243,16,0.9,0.03,original
29.888020952921625,-81.33079888054478,16,0.9,0.03,original
29.888738523944827,-81.33084858448704,16,0.9,0.03,original
29.884201324727865,-81.33086515842166,16,0.9,0.03,original
29.88701533595313,-81.33047684532127,16,0.9,0.03,original
29.888206175760555,-81.33040503797704,16,0.9,0.03,original
29.88981793530826,-81.3302525691503,16,0.9,0.03,original
29.88981793530826,-81.3302525691503,16,0.9,0.03,original
29.887693468850475,-81.32980378004063,16,0.9,0.03,original
29.887693468850475,-81.32980378004063,16,0.9,0.03,original
29.886043639187804,-81.33088386388526,16,0.9,0.03,original
29.88717926192695,-81.3298020874702,16,0.9,0.03,original
29.884837001660234,-81.32957664685436,16,0.9,0.03,original
29.885180628419608,-81.32961564350842,16,0.9,0.03,original
29.88431194514323,-81.3295149652644,16,0.9,0.03,original
29.886129046943477,-81.3297197415154,16,0.9,0.03,original
29.885004042329825,-81.32875360233842,16,0.9,0.03,original
29.88576011136273,-81.32880341625176,16,0.9,0.03,original
29.88701116251126,-81.32884538874518,16,0.9,0.03,original
29.890071899689463,-81.32875760841074,16,0.9,0.03,original
29.88435251165327,-81.32868519907277,16,0.9,0.03,original
29.887100577339318,-81.32827451890002,16,0.9,0.03,original
29.88939843427406,-81.328663884,16,0.9,0.03,original
29.886596961049698,-81.32843695920808,16,0.9,0.03,original
29.89009191826482,-81.32844841622897,16,0.9,0.03,original
29.88617765963808,-81.32897203158562,16,0.9,0.03,original
29.8886211686835,-81.32829212361136,16,0.9,0.03,original
29.88942123379693,-81.32834208030353,16,0.9,0.03,original
29.884403593662533,-81.32804795290429,16,0.9,0.03,original
29.885058101977112,-81.32802485132741,16,0.9,0.03,original
29.885649200761033,-81.32806780853424,16,0.9,0.03,original
29.890464369446573,-81.32795419171389,16,0.9,0.03,original
29.88802009106234,-81.3278388993753,16,0.9,0.03,original
29.88802009106234,-81.3278388993753,16,0.9,0.03,original
29.889573726578764,-81.32783767185435,16,0.9,0.03,original
29.88800711803715,-81.32752644984703,16,0.9,0.03,original
29.888774068804842,-81.3276236265702,16,0.9,0.03,original
29.880390469853293,-81.32741320521149,16,0.9,0.03,original
29.880390469853293,-81.32741320521149,16,0.9,0.03,original
29.887127332541507,-81.32746677313138,16,0.9,0.03,original
29.885829722636828,-81.32734893224196,16,0.9,0.03,original
29.886308073169022,-81.32739467301846,16,0.9,0.03,original
29.888802827021422,-81.3271156606102,16,0.9,0.03,original
29.890441681804216,-81.32712416735211,16,0.9,0.03,original
29.88079527343244,-81.32717787264804,16,0.9,0.03,original
29.884474453215905,-81.32719619560683,16,0.9,0.03,original
29.88515624786089,-81.32725837705372,16,0.9,0.03,original
29.889905625437834,-81.3270624589523,16,0.9,0.03,original
29.88946857634054,-81.32699476304563,16,0.9,0.03,original
29.882470299593322,-81.32701610206307,16,0.9,0.03,original
29.882767228096924,-81.32703600376321,16,0.9,0.03,original
29.883471005543008,-81.32710456566778,16,0.9,0.03,original
29.881131597999207,-81.32683503083952,16,0.9,0.03,original
29.881802355019754,-81.32691294868465,16,0.9,0.03,original
29.880298705782394,-81.32671556547773,16,0.9,0.03,original
29.880766018818253,-81.32677704145368,16,0.9,0.03,original
29.885204666967446,-81.32658324985685,16,0.9,0.03,original
29.885894711167392,-81.32664545453038,16,0.9,0.03,original
29.878838958564497,-81.32655619549845,16,0.9,0.03,original
29.879385999614875,-81.32662424029412,16,0.9,0.03,original
29.883475021442884,-81.3265933902926,16,0.9,0.03,original
29.884531144713918,-81.32651163337026,16,0.9,0.03,original
29.88661008115003,-81.32647422952576,16,0.9,0.03,original
29.88661008115003,-81.32647422952576,16,0.9,0.03,original
29.888342748850334,-81.32635364977804,16,0.9,0.03,original
29.888342748850334,-81.32635364977804,16,0.9,0.03,original
29.881842842657207,-81.32610844530916,16,0.9,0.03,original
29.888742354803227,-81.32599520727747,16,0.9,0.03,original
29.889385684028788,-81.32604463562546,16,0.9,0.03,original
29.89013891035587,-81.32613229069204,16,0.9,0.03,original
29.88111637215642,-81.3263206493162,16,0.9,0.03,original
29.882802661507668,-81.32605161483268,16,0.9,0.03,original
